Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Date,USDINR,USDSGD,Price_INR,Price_SGD,Split_Adjusted_Close
Trades,Data,Order,Stocks,USD,MARA,"2024-12-02, 13:29:34",400.0,25.0,25.63,-10000.0,-2.200928,10002.200928,0.0,252.0,O;P,2024-12-02,84.71,1.3456,2117.75,33.64,25.6299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-02, 13:29:34",400.0,25.0,25.63,-10000.0,-2.200928,10002.200928,0.0,252.0,O;P,2024-12-02,84.71,1.3456,2117.75,33.64,25.6299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-02, 13:29:34",400.0,25.0,25.63,-10000.0,-2.200928,10002.200928,0.0,252.0,O;P,2024-12-02,84.71,1.3456,2117.75,33.64,25.6299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-02, 13:29:34",400.0,25.0,25.63,-10000.0,-2.200928,10002.200928,0.0,252.0,O;P,2024-12-02,84.71,1.3456,2117.75,33.64,25.6299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-02, 15:06:25",-400.0,25.2,25.63,10080.0,-2.57874816,-10402.200928,-324.779676,-172.0,C,2024-12-02,84.71,1.3456,2134.692,33.909119999999994,25.6299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-02, 15:06:26",-400.0,25.22,25.63,10088.0,-2.57899058,-10002.200928,83.220081,-164.0,C,2024-12-02,84.71,1.3456,2136.3862,33.936032,25.6299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-03, 09:30:01",500.0,24.5,25.13,-12250.0,-2.75116,12252.75116,0.0,315.0,O,2024-12-03,84.68,1.3451,2074.6600000000003,32.95495,25.1299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-03, 09:41:12",-500.0,25.0,25.13,12500.0,-3.220405,-12452.75116,44.028435,-65.0,C,2024-12-03,84.68,1.3451,2117.0,33.6275,25.1299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-03, 10:43:00",400.0,25.5,25.13,-10200.0,-2.200928,10202.200928,0.0,-148.0,O;P,2024-12-03,84.68,1.3451,2159.34,34.30005,25.1299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-04, 09:42:09",-400.0,25.72,25.96,10288.0,-2.58505098,-9802.200928,483.214021,-96.0,C,2024-12-04,84.76,1.3472,2180.0272,34.649983999999996,25.959999084472656
Trades,Data,Order,Stocks,USD,MARA,"2024-12-04, 14:00:03",500.0,25.2,25.96,-12600.0,-2.75116,12602.75116,0.0,380.0,O,2024-12-04,84.76,1.3472,2135.952,33.949439999999996,25.959999084472656
Trades,Data,Order,Stocks,USD,MARA,"2024-12-04, 14:03:53",-500.0,25.31,25.96,12655.0,-3.22510181,-12722.751161,-70.976263,-325.0,C;P,2024-12-04,84.76,1.3472,2145.2756,34.097632,25.959999084472656
Trades,Data,Order,Stocks,USD,MARA,"2024-12-04, 14:14:22",500.0,25.25,25.96,-12625.0,-2.75116,12627.75116,0.0,355.0,O,2024-12-04,84.76,1.3472,2140.19,34.016799999999996,25.959999084472656
Trades,Data,Order,Stocks,USD,MARA,"2024-12-04, 14:17:09",-500.0,25.4,25.96,12700.0,-3.2264654,-12607.75116,89.022375,-280.0,C,2024-12-04,84.76,1.3472,2152.904,34.21888,25.959999084472656
Trades,Data,Order,Stocks,USD,MARA,"2024-12-04, 14:21:39",500.0,25.35,25.96,-12675.0,-2.75116,12677.75116,0.0,305.0,O;P,2024-12-04,84.76,1.3472,2148.666,34.15152,25.959999084472656
Trades,Data,Order,Stocks,USD,MARA,"2024-12-04, 14:29:49",-500.0,25.46,25.96,12730.0,-3.22737446,-12638.490632,88.281994,-250.0,C,2024-12-04,84.76,1.3472,2157.9896000000003,34.299712,25.959999084472656
Trades,Data,Order,Stocks,USD,MARA,"2024-12-05, 15:16:47",500.0,25.1,24.79,-12550.0,-2.75116,12552.75116,0.0,-155.0,O,2024-12-05,84.68,1.3409,2125.4680000000003,33.65659,24.790000915527344
Trades,Data,Order,Stocks,USD,MARA,"2024-12-06, 09:30:00",-500.0,25.5,26.43,12750.0,-3.2279805,-12652.011689,94.760331,-465.0,C,2024-12-06,84.69,1.3396,2159.595,34.1598,26.43000030517578
Trades,Data,Order,Stocks,USD,MARA,"2024-12-06, 10:04:06",500.0,25.3,26.43,-12650.0,-2.75116,12652.75116,0.0,565.0,O,2024-12-06,84.69,1.3396,2142.657,33.89188,26.43000030517578
Trades,Data,Order,Stocks,USD,MARA,"2024-12-06, 10:06:14",-500.0,25.52,26.43,12760.0,-3.22828352,-12572.75116,184.020556,-455.0,C;P,2024-12-06,84.69,1.3396,2161.2888,34.186592,26.43000030517578
Trades,Data,Order,Stocks,USD,MARA,"2024-12-06, 10:12:52",500.0,25.75,26.43,-12875.0,-2.75116,12877.75116,0.0,340.0,O,2024-12-06,84.69,1.3396,2180.7675,34.494699999999995,26.43000030517578
Trades,Data,Order,Stocks,USD,MARA,"2024-12-06, 10:14:04",-500.0,25.95,26.43,12975.0,-3.23479845,-12697.75116,274.014041,-240.0,C,2024-12-06,84.69,1.3396,2197.7055,34.76262,26.43000030517578
Trades,Data,Order,Stocks,USD,MARA,"2024-12-06, 10:50:26",500.0,26.2,26.43,-13100.0,-2.75116,13102.75116,0.0,115.0,O,2024-12-06,84.69,1.3396,2218.8779999999997,35.097519999999996,26.43000030517578
Trades,Data,Order,Stocks,USD,MARA,"2024-12-06, 10:58:44",-500.0,26.41,26.43,13205.0,-3.24176791,-12922.75116,279.007072,-10.0,C;P,2024-12-06,84.69,1.3396,2236.6629,35.378836,26.43000030517578
Trades,Data,Order,Stocks,USD,MARA,"2024-12-06, 11:23:47",500.0,26.2,26.43,-13100.0,-2.75116,13102.75116,0.0,115.0,O;P,2024-12-06,84.69,1.3396,2218.8779999999997,35.097519999999996,26.43000030517578
Trades,Data,Order,Stocks,USD,MARA,"2024-12-06, 11:38:14",-500.0,26.41,26.43,13205.0,-3.24176791,-13102.75116,99.007072,-10.0,C,2024-12-06,84.69,1.3396,2236.6629,35.378836,26.43000030517578
Trades,Data,Order,Stocks,USD,MARA,"2024-12-06, 11:52:05",500.0,26.0,26.43,-13000.0,-2.75116,13002.75116,0.0,215.0,O,2024-12-06,84.69,1.3396,2201.94,34.8296,26.43000030517578
Trades,Data,Order,Stocks,USD,MARA,"2024-12-06, 12:35:38",-500.0,26.2,26.43,13100.0,-3.2385862,-13082.75116,14.010254,-115.0,C,2024-12-06,84.69,1.3396,2218.8779999999997,35.097519999999996,26.43000030517578
Trades,Data,Order,Stocks,USD,MARA,"2024-12-06, 14:13:11",500.0,26.05,26.43,-13025.0,-2.75116,13027.75116,0.0,190.0,O,2024-12-06,84.69,1.3396,2206.1745,34.89658,26.43000030517578
Trades,Data,Order,Stocks,USD,MARA,"2024-12-06, 15:30:03",-500.0,26.2,26.43,13100.0,-3.2385862,-13007.75116,89.010254,-115.0,C,2024-12-06,84.69,1.3396,2218.8779999999997,35.097519999999996,26.43000030517578
Trades,Data,Order,Stocks,USD,MARA,"2024-12-09, 09:30:02",500.0,25.58,23.855,-12790.0,-2.75116,12792.75116,0.0,-862.5,O,2024-12-09,84.87,1.3396,2170.9746,34.266968,23.860000610351562
Trades,Data,Order,Stocks,USD,MARA,"2024-12-09, 09:31:10",-500.0,26.0,23.855,13000.0,-3.235556,-12980.75116,16.013284,1072.5,C,2024-12-09,84.87,1.3396,2206.62,34.8296,23.860000610351562
Trades,Data,Order,Stocks,USD,MARA,"2024-12-09, 10:26:37",500.0,24.8,23.855,-12400.0,-2.75116,12402.75116,0.0,-472.5,O,2024-12-09,84.87,1.3396,2104.7760000000003,33.22208,23.860000610351562
